Country_Region_x,Date,ConfirmedCases_x,Fatalities_x,Daily Cases_x,Daily Deaths_x,Country_Region_y,ConfirmedCases_y,Fatalities_y,Daily Cases_y,Daily Deaths_y,Country_Region,ConfirmedCases,Fatalities,Daily Cases,Daily Deaths
India,2020-01-22,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-23,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-24,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-25,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-26,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-27,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-28,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-29,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-30,1.0,0.0,1.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,0.0,0.0,0.0,0.0
India,2020-01-31,1.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,1.0,0.0
India,2020-02-01,1.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-02,2.0,0.0,1.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-03,3.0,0.0,1.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-04,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-05,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-06,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-07,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-08,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-09,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-10,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-11,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-12,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
India,2020-02-13,3.0,0.0,0.0,0.0,Netherlands,0.0,0.0,0.0,0.0,Sweden,1.0,0.0,0.0,0.0
